filename,subfolder,ground_truth,correct,top1_class,top1_confidence,top2_class,top2_confidence,top3_class,top3_confidence
apple_scab_01.jpg,easy,Apple___Apple_scab,NO,Corn_(maize)___Northern_Leaf_Blight,0.3011,Apple___Cedar_apple_rust,0.1279,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.1212
apple_scab_02.jpg,easy,Apple___Apple_scab,NO,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.8332,Tomato___Leaf_Mold,0.0637,Corn_(maize)___Common_rust_,0.0372
corn_common_rust_01.jpg,easy,Corn_(maize)___Common_rust_,YES,Corn_(maize)___Common_rust_,0.2547,Tomato___Leaf_Mold,0.2229,Peach___healthy,0.1157
potato_late_blight_01.jpg,easy,Potato___Late_blight,NO,Corn_(maize)___Common_rust_,0.4176,Peach___healthy,0.2338,Tomato___Late_blight,0.2324
tomato_early_blight_01.jpg,easy,Tomato___Early_blight,YES,Tomato___Early_blight,0.4456,Squash___Powdery_mildew,0.2497,Tomato___Bacterial_spot,0.1437
tomato_septoria_leaf_01.jpg,easy,Tomato___Septoria_leaf_spot,NO,Squash___Powdery_mildew,0.3629,Raspberry___healthy,0.2597,Apple___healthy,0.0981
apple_fire_blight_dense_01.jpg,hard,OOD/UNKNOWN,OOD,Corn_(maize)___Northern_Leaf_Blight,0.8645,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.1254,Tomato___Leaf_Mold,0.0078
apple_fire_blight_dense_02.jpg,hard,OOD/UNKNOWN,OOD,Corn_(maize)___Northern_Leaf_Blight,0.7469,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.2392,Tomato___Bacterial_spot,0.0063
potato_late_blight_dense_01.jpg,hard,Potato___Late_blight,NO,Squash___Powdery_mildew,0.3933,Corn_(maize)___Common_rust_,0.2507,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.1891
tomato_early_blight_heavy_01.jpg,hard,Tomato___Early_blight,NO,Tomato___Bacterial_spot,0.9110,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0309,Tomato___Septoria_leaf_spot,0.0278
apple_scab_field_01.jpg,medium,Apple___Apple_scab,NO,Cherry_(including_sour)___healthy,0.2319,Peach___healthy,0.1657,Apple___healthy,0.1389
corn_common_rust_field_01.jpg,medium,Corn_(maize)___Common_rust_,YES,Corn_(maize)___Common_rust_,0.9204,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0526,Tomato___Bacterial_spot,0.0125
grape_powdery_mildew_field_01.jpg,medium,OOD/UNKNOWN,OOD,Blueberry___healthy,0.5051,Cherry_(including_sour)___healthy,0.2275,Apple___Apple_scab,0.0482
medium_01_tomato_misclassified_as_squash.png,medium,OOD/UNKNOWN,OOD,Corn_(maize)___Northern_Leaf_Blight,0.5466,Apple___Apple_scab,0.1576,Squash___Powdery_mildew,0.0776
pepper_bacterial_spot_field_01.jpg,medium,"Pepper,_bell___Bacterial_spot",YES,"Pepper,_bell___Bacterial_spot",0.2876,Corn_(maize)___Northern_Leaf_Blight,0.2653,Corn_(maize)___Common_rust_,0.1604
potato_late_blight_field_01.jpg,medium,Potato___Late_blight,NO,Squash___Powdery_mildew,0.3956,Corn_(maize)___Common_rust_,0.2182,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.1869
potato_late_blight_field_02.jpg,medium,Potato___Late_blight,NO,Orange___Haunglongbing_(Citrus_greening),0.8245,Peach___healthy,0.0505,Soybean___healthy,0.0273
tomato_early_blight_field_01.jpg,medium,Tomato___Early_blight,NO,Raspberry___healthy,0.8046,Squash___Powdery_mildew,0.0476,Cherry_(including_sour)___healthy,0.0258
tomato_late_blight_field_01.jpg,medium,Tomato___Late_blight,NO,Corn_(maize)___Northern_Leaf_Blight,0.2595,Tomato___Leaf_Mold,0.2174,Blueberry___healthy,0.1079
rose_black_spot_01.jpg,ood,OOD/UNKNOWN,OOD,Tomato___Bacterial_spot,0.4452,Tomato___Septoria_leaf_spot,0.3013,Raspberry___healthy,0.1070
rose_black_spot_02.jpg,ood,OOD/UNKNOWN,OOD,Tomato___Septoria_leaf_spot,0.5348,Tomato___Early_blight,0.1096,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.0994
sunflower_leaf_ood_01.jpg,ood,OOD/UNKNOWN,OOD,Grape___healthy,0.4543,Apple___Cedar_apple_rust,0.0711,Tomato___Late_blight,0.0659
wheat_leaf_rust_01.jpg,ood,OOD/UNKNOWN,OOD,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.4977,Corn_(maize)___Common_rust_,0.1867,Tomato___Early_blight,0.0784
wheat_leaf_rust_02.jpg,ood,OOD/UNKNOWN,OOD,Peach___healthy,1.0000,Apple___healthy,0.0000,Peach___Bacterial_spot,0.0000
