index,filename,category,true_class,in_distribution,Original_pred,Original_conf,Original_correct,Fine-tuned_pred,Fine-tuned_conf,Fine-tuned_correct,Hybrid_V1_pred,Hybrid_V1_conf,Hybrid_V1_correct,Hybrid_V2_pred,Hybrid_V2_conf,Hybrid_V2_correct
1,apple_scab_01.jpg,easy,Apple___Apple_scab,True,Strawberry___Leaf_scorch,0.9991,False,Corn_(maize)___Northern_Leaf_Blight,0.3011,False,Cherry_(including_sour)___Powdery_mildew,0.2814,False,Apple___healthy,0.3984,False
2,apple_scab_02.jpg,easy,Apple___Apple_scab,True,Corn_(maize)___Northern_Leaf_Blight,0.7034,False,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.8332,False,Raspberry___healthy,0.8257,False,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.4829,False
3,corn_common_rust_01.jpg,easy,Corn_(maize)___Common_rust_,True,Tomato___healthy,0.9925,False,Corn_(maize)___Common_rust_,0.2547,True,Apple___Cedar_apple_rust,0.4275,False,Apple___Cedar_apple_rust,0.3896,False
4,potato_late_blight_01.jpg,easy,Potato___Late_blight,True,Tomato___Late_blight,0.4984,False,Corn_(maize)___Common_rust_,0.4176,False,Grape___Esca_(Black_Measles),0.6089,False,Tomato___Late_blight,0.7926,False
5,tomato_early_blight_01.jpg,easy,Tomato___Early_blight,True,Peach___Bacterial_spot,0.8569,False,Tomato___Early_blight,0.4456,True,Peach___healthy,0.5587,False,Squash___Powdery_mildew,0.235,False
6,tomato_septoria_leaf_01.jpg,easy,Tomato___Septoria_leaf_spot,True,Peach___healthy,0.9761,False,Squash___Powdery_mildew,0.3629,False,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.4329,False,Apple___healthy,0.1882,False
7,apple_scab_field_01.jpg,medium,Apple___Apple_scab,True,Strawberry___Leaf_scorch,0.6508,False,Cherry_(including_sour)___healthy,0.2319,False,Corn_(maize)___Northern_Leaf_Blight,0.667,False,Corn_(maize)___Common_rust_,0.4499,False
8,corn_common_rust_field_01.jpg,medium,Corn_(maize)___Common_rust_,True,"Pepper,_bell___Bacterial_spot",0.5252,False,Corn_(maize)___Common_rust_,0.9204,True,Corn_(maize)___Northern_Leaf_Blight,0.9915,False,Corn_(maize)___Common_rust_,0.9708,True
9,grape_powdery_mildew_field_01.jpg,medium,OOD,False,Strawberry___Leaf_scorch,0.9868,,Blueberry___healthy,0.5051,,Cherry_(including_sour)___Powdery_mildew,0.3055,,"Pepper,_bell___healthy",0.3492,
10,medium_01_tomato_misclassified_as_squash.png,medium,AMBIGUOUS,False,Squash___Powdery_mildew,0.8706,,Corn_(maize)___Northern_Leaf_Blight,0.5466,,Apple___Apple_scab,0.4667,,Apple___Apple_scab,0.3342,
11,pepper_bacterial_spot_field_01.jpg,medium,"Pepper,_bell___Bacterial_spot",True,"Pepper,_bell___Bacterial_spot",0.9894,True,"Pepper,_bell___Bacterial_spot",0.2876,True,Corn_(maize)___Common_rust_,0.6033,False,Corn_(maize)___Northern_Leaf_Blight,0.8192,False
